"Tags","Testname","Result","Note"
"TS_TH_08 ","Kiểm tra chọn Để sau ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng SVIP","failed","Check [Category Block Kênh cá nhân] present
"">>>> Check [Category Block Kênh cá nhân] present actual: false ,expect: true
Check [Category Block Kênh K+] present
"">>>> Check [Category Block Kênh K+] present actual: false ,expect: true
Check [Category Block Kênh HBO GO] present
"">>>> Check [Category Block Kênh HBO GO] present actual: false ,expect: true
Check [Category Block Kênh quốc tế] present
"">>>> Check [Category Block Kênh quốc tế] present actual: false ,expect: true"
"TS_TH_08 ","Kiểm tra chọn Để sau ở màn hình yêu cầu mua khi chọn sự kiện tiếp sóng K+","failed","Check [Category Block Kênh cá nhân] present
"">>>> Check [Category Block Kênh cá nhân] present actual: false ,expect: true
Check [Category Block Kênh K+] present
"">>>> Check [Category Block Kênh K+] present actual: false ,expect: true
Check [Category Block Kênh HBO GO] present
"">>>> Check [Category Block Kênh HBO GO] present actual: false ,expect: true
Check [Category Block Kênh quốc tế] present
"">>>> Check [Category Block Kênh quốc tế] present actual: false ,expect: true
Check [Category Block Kênh cơ bản] present
"">>>> Check [Category Block Kênh cơ bản] present actual: false ,expect: true"
"TS_TH_09 ","Kiểm tra chọn sự kiện FPT live đã phát sóng thuộc gói SMAX khi đã đăng nhập tài khoản có gói SMAX","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING CHANNEL_SMAX FPT_LIVE expected [true] but found [false]"
"TS_TH_09 ","Kiểm tra chọn sự kiện FPT live đã phát sóng thuộc gói SVIP khi đã đăng nhập tài khoản có gói SVIP","skipped","----DATA ISSUE ----DATA ISSUE, there is NO EVENT MATCHING CHANNEL_SVIP FPT_LIVE expected [true] but found [false]"
"TS_TH_31 ","Kiểm tra mở màn hình Danh sách kênh tại luồng kênh live","passed",""
"TS_TH_13 ","Kiểm tra mở kênh không yêu cầu đăng nhập tại màn hình Danh sách kênh","passed",""
"TS_TH_14 ","Kiểm tra yêu cầu mua gói SMAX khi chọn kênh ở màn hình danh sách kênh","passed",""
"TS_TH_15 ","Kiểm tra yêu cầu mua gói SVIP khi chọn kênh ở màn hình danh sách kênh","passed",""
"TS_TH_16 ","Kiểm tra yêu cầu mua gói K+ khi chọn kênh ở màn hình danh sách kênh","passed",""
"TS_TH_32 ","Kiểm tra mở kênh không yêu cầu đăng nhập tại màn hình Danh sách kênh","passed",""
"TS_TH_33 ","Kiểm tra mở kênh có yêu cầu đăng nhập tại màn hình Danh sách kênh khi chưa đăng nhập","passed",""
"TS_TH_34 ","Kiểm tra mở kênh thuộc gói SMAX ở màn hình danh sách kênh khi đã đăng nhập tài khoản có gói SMAX","passed",""
"TS_TH_35 ","Kiểm tra mở kênh thuộc gói SVIP ở màn hình danh sách kênh khi đã đăng nhập tài khoản tài khoản có gói SVIP","passed",""
"TS_TH_36 ","Kiểm tra mở kênh thuộc gói K+ ở màn hình danh sách kênh khi đã đăng nhập tài khoản có gói K+","passed",""
"TS_TH_37 ","Kiểm tra nhấn vào button Sắp xếp kênh ở màn hình Danh sách kênh","passed",""
"TS_TH_38 ","Kiểm tra Sắp xếp kênh ở danh sách kênh theo số thứ tự kênh","failed","Compare group channels
"">>>> Compare group channels actual: [Kênh tổng hợp] ,expect: [Kênh cá nhân, Kênh tổng hợp]"
"TS_TH_39 ","Kiểm tra Sắp xếp kênh ở danh sách kênh theo nhóm gói kênh","failed","Compare group channels
"">>>> Compare group channels actual: [Kênh HBO GO, Kênh K+, Kênh cơ bản, Kênh nước ngoài, Kênh quốc tế, Kênh địa phương] ,expect: [Kênh HBO GO, Kênh K+, Kênh cá nhân, Kênh cơ bản, Kênh quốc tế, Kênh địa phương]"
"TS_TH_22 ","Kiểm tra chọn Lịch phát sóng ở Player truyền hình","passed",""
"TS_TH_23 ","Kiểm tra chọn Chất lượng hình ảnh ở Player truyền hình","passed",""
"TS_TH_24 ","Kiểm tra thay đổi Chất lượng hình ảnh ở Player truyền hình","passed",""
"TS_TH_25 ","Kiểm tra chuyển kênh bằng cách nhấn phím Up/Down ở player truyền hình","failed","INFO: Selected Item Info Selected Item: Bắc Giang HD of Block: Kênh địa phương
Check [Text Player Title in Player Page] has text: [BẮC KẠN], actual Text: BÀ RỊA-VŨNG TÀU HD
"">>>> Check [Text Player Title in Player Page] has text: [BẮC KẠN], actual Text: BÀ RỊA-VŨNG TÀU HD actual: BÀ RỊA-VŨNG TÀU HD ,expect: BẮC KẠN"
"TS_TH_27 ","Kiểm tra mở danh sách kênh ở player truyền hình","passed",""
"TS_TH_28 ","Kiểm tra chuyển kênh bằng cách nhấn phím số ở player kênh","passed",""
"TS_TH_29 ","Kiểm tra chuyển kênh bằng cách chọn kênh ở Danh sách kênh","passed",""
"TS_TH_30 ","Kiểm tra thoát khỏi Player truyền hình khi nhấn button Back","passed",""
"TS_TH_57 ","Kiểm tra default option của chức năng chọn IPTV","passed",""
"TS_TH_59 ","Kiểm tra Tắt option của chức năng chất lượng IPTV","passed",""
"TS_TH_58 ","Kiểm tra Bật option của chức năng chất lượng IPTV","passed",""
"TS_TH_40 ","Kiểm tra chọn button Lịch phát sóng khi play chương trình live của kênh có timeshift","failed",""
"TS_TH_41 ","Kiểm tra chọn button Lịch phát sóng khi play chương trình timeshift","failed","INFO CHannel: VTV Cần Thơ
Element Text Player Title in Player Page not null
"">>>> Element Text Player Title in Player Page not null actual: false ,expect: true
Element Text Player Title in Player Pagenot null check
"">>>> Element Text Player Title in Player Pagenot null check actual: false ,expect: true
Check [Text Player Title in Player Page] has text: [VTV CẦN THƠ], actual Text: 
"">>>> Check [Text Player Title in Player Page] has text: [VTV CẦN THƠ], actual Text:  actual:  ,expect: VTV CẦN THƠ
Element Player Des in Player Page not null
"">>>> Element Player Des in Player Page not null actual: false ,expect: true
Element Player Des in Player Pagenot null check
"">>>> Element Player Des in Player Pagenot null check actual: false ,expect: true
Check [Player Des in Player Page] contains text: [Tọa đàm: Bảo hiểm xã hội đẩy mạnh chuyển đổi số] actual Text 
"">>>> Check [Player Des in Player Page] contains text: [Tọa đàm: Bảo hiểm xã hội đẩy mạnh chuyển đổi số] actual Text  actual: false ,expect: true
ERROR: Cannot find [Button Schedule in Player Page]"
"TS_TH_42 ","Kiểm tra chọn button Lịch phát sóng khi play kênh không có timeshift","passed",""
"TS_TH_43 ","Kiểm tra chọn button Lịch phát sóng khi play kênh không có lịch phát sóng","failed","ERROR: Cannot find [Menu Schedule]"
"TS_TH_44 ","Kiểm tra thao tác thay đổi lịch ngày","passed",""
"TS_TH_49 ","Kiểm tra chọn button Chất lượng hình ảnh ở player truyền hình","passed",""
"TS_TH_50 ","Kiểm tra thay đổi chất lượng hình ảnh Auto/1080/720/480","passed",""
"TS_TH_17 ","Kiểm tra play Timeshift của kênh không yêu cầu đăng nhập khi chưa đăng nhập tài khoản","failed","ERROR: Cannot find [Menu Schedule]"
"TS_TH_18 ","Kiểm tra play Timeshift của kênh không yêu cầu đăng nhập khi đã đăng nhập tài khoản","failed","ERROR: Cannot find [Menu Schedule]"
"TS_TH_19 ","Kiểm tra play Timeshift của kênh miễn phí yêu cầu login khi đã đăng nhập","failed","ERROR: Cannot find [Menu Schedule]"
"TS_TH_20 ","Kiểm tra play Timeshift của kênh thuộc gói SMAX khi đã đăng nhập tài khoản SMAX","failed","ERROR: Cannot find [Menu Schedule]"
